date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-09-15_06.00.00	0.10941	32.19579	2.3401067998923026		2.9740000598318724e-05	284.23652672323954	32.631767226556455	3.030345290186631
2021-09-15_07.00.00	0.1086102	31.98481	2.3294280072994886		0.0005522359170730248	282.78133839511685	31.70923436252554	3.1812809392131953
2021-09-15_08.00.00	0.1089809	32.06273	2.340490023035271		0.0006888000717982469	283.36895191305643	32.52364164603135	3.10192820488561
2021-09-15_09.00.00	0.1121466	32.80074	2.4022634397343463	8.633999461513148e-05	0.0016760810123552816	286.31710585082624	36.399336635237006	2.800272243161544
2021-09-15_10.00.00	0.1158599	33.64977	2.4829748406976395	0.00016199999999999998	0.0014155700481646573	284.934010719071	39.427635245292414	2.486376098768062
2021-09-15_11.00.00	0.1186395	34.25834	2.5683094504442514		0.0031031710892392376	283.94361322018756	40.38839700994029	2.4270735059370168
2021-09-15_12.00.00	0.122739	35.18167	2.6645956861219973		0.005690376043318276	283.20771921988984	42.969983939378125	2.1936702543256956
2021-09-15_13.00.00	0.1228554	35.19755	2.6674724025488374		0.00540048164657313	280.0982209319637	43.597669087598604	2.0258596675795957
2021-09-15_14.00.00	0.1273635	36.25053	2.764558889520447		0.0022056998833278486	280.7567738573768	44.19860843962902	1.8822852425647625
2021-09-15_15.00.00	0.1243095	35.53181	2.6991683369731057		0.0002458400095730996	282.121445585827	41.9894447413087	1.9269401586534514
2021-09-15_16.00.00	0.1206367	34.66062	2.617974092799234		0.0010224800311125735	282.59870477891917	39.7565047485859	1.940043694741746
2021-09-15_17.00.00	0.122217	34.97438	2.670997696472911		0.00035060998593951	284.21259490844125	37.06795976183382	1.947107469192872
2021-09-15_18.00.00	0.1252026	35.65742	2.7406066951865258		5.310000897478087e-06	284.10045407175824	35.88934861715165	1.9286372732531731
2021-09-15_19.00.00	0.1250815	35.59629	2.753524695605349		0.00038241810512459987	285.339325591782	34.57041396508144	2.020051795711481
2021-09-15_20.00.00	0.1244612	35.42544	2.750051156250935		0.003121856583001765	287.32432633616196	34.33207856769897	2.053212486403254
2021-09-15_21.00.00	0.1282192	36.24228	2.860828073114548	1.5910000897478086e-06	0.002426200077781434	286.3233958612476	37.77101707377239	1.9757907736454854
2021-09-15_22.00.00	0.1368521	38.23004	3.0546264995363024	0.000168	0.0017974000059831872	285.66927199642697	48.357878307788795	1.6443413480345157
2021-09-15_23.00.00	0.1582529	43.17575	3.474927453854668	0.00106	0.0014433299428605617	285.64742444543697	54.73385744017107	1.722662578901236
2021-09-16_00.00.00	0.2010196	52.71555	4.239198851228049	0.00406500134621713	0.0001559218894905316	285.37602352240583	66.35153938255922	1.6447918030066262
2021-09-16_01.00.00	0.2266388	58.24352	4.697726388847339	0.00579200047865498	4.860190863673078e-05	283.35443650439186	71.53785492439279	1.7227859848551361
2021-09-16_02.00.00	0.2404766	61.11827	5.181015346875281	0.0019636000837646213	0.00011874000059831872	283.6322763138306	74.35611066569237	1.7702629483230794
2021-09-16_03.00.00	0.2364854	60.31272	4.8331588237053875	0.007725999940168127	0.00022741998982858167	283.09807205597735	68.27499526880116	2.1440534547181755
2021-09-16_04.00.00	0.2175091	56.16076	4.870173811589434	8.295001047057768e-05	0.00020548000119663745	282.19934494566024	61.53302508870246	2.246844875804811
2021-09-16_05.00.00	0.2154104	55.53791	4.909650881024321	2.9939988631944235e-06	0.0008522401053040955	282.52702099151406	52.14955589645832	2.365057060783272
2021-09-16_06.00.00	0.2093195	54.13347	4.816507613605768	3.870999491429084e-06	0.00022099999999999998	282.5969927050767	47.80762082829574	2.3200690124762673
2021-09-16_07.00.00	0.2076079	53.70814	4.805480599515362		1.9485798905076734e-05	282.9844796784279	45.90449578266745	2.2808200405066827
2021-09-16_08.00.00	0.2026989	52.65034	4.710922308313639		2.4999999999999998e-05	283.6550171207384	41.2564565431545	2.5661662005025505
2021-09-16_09.00.00	0.2080338	53.75916	4.849483950100218			283.032380527021	41.74176600350337	2.4657384036757435
2021-09-16_10.00.00	0.2182905	55.95983	5.087279743919585		3.6426511502677474e-05	280.75502456453773	43.21049829046347	2.601938863864575
2021-09-16_11.00.00	0.238892	60.33869	5.510329972776498		3.306390043976426e-05	278.72993896084563	49.89164846734759	2.2845650338553014
2021-09-16_12.00.00	0.2493224	62.49976	5.7427618392317585		0.0002507670146887247	277.6313830579128	51.39441524136932	2.366231638162674
2021-09-16_13.00.00	0.2580212	64.31686	5.9317976486074135		0.00015045998743530678	277.2000148875986	51.842250635007915	2.361708498881626
2021-09-16_14.00.00	0.2592609	64.58728	5.956313758339068		1.425400125646932e-05	276.1772368616942	51.46284348549279	2.429404102031299
2021-09-16_15.00.00	0.2471477	62.08258	5.725090495707063		0.00028399999999999996	274.77504838469554	48.577156722906736	2.6112897201280703
2021-09-16_16.00.00	0.2408431	60.7175	5.607036228198761		9.52399856403506e-06	274.84874199791574	45.18404154380736	2.6187672591636897
2021-09-16_17.00.00	0.2274601	58.01656	5.292299638017171			276.7380899210957	38.082287141354215	3.0834064955707277
2021-09-16_18.00.00	0.2303614	58.66884	5.367373679959314			277.1003051957719	36.762352021370276	3.0845069159001923
2021-09-16_19.00.00	0.2325088	59.19793	5.409235049510874		8.855999641008765e-06	276.73433080244155	35.89900230301338	3.3718417515094643
2021-09-16_20.00.00	0.2361039	59.9683	5.516893529182996		1.1151999880336254e-06	275.5742518981688	35.263129987171475	3.7325006968791286
2021-09-16_21.00.00	0.252829	63.50502	5.882594908307656		0.00010436000837646213	276.7888194134286	38.8914235737371	3.7089741235787415
2021-09-16_22.00.00	0.2774231	68.64981	6.3683818470099025		0.0007682609866275765	277.1850900699717	44.204582091224665	3.7621114397480255
2021-09-16_23.00.00	0.3023258	73.64122	6.880096927633351	8.766000538486852e-05	0.0024785484787746433	275.4238127140092	50.75867016228321	3.8271704626701535
2021-09-17_00.00.00	0.3246033	77.9628	7.345337601340233	0.0002724000059831872	0.006354761121249289	271.57964865267235	58.29125201718606	3.6213347480783113
2021-09-17_01.00.00	0.3386898	80.69525	7.6422562599096535	0.00043979986238669336	0.012467840368564334	270.3972383504541	59.071039276499356	3.9290290882260592
2021-09-17_02.00.00	0.3516698	83.15577	7.942908427319233	2.761999880336255e-06	0.013936434618721393	271.1003424147685	57.7663801109554	4.17941574811897
2021-09-17_03.00.00	0.3532026	83.54563	7.964229515062674		0.007687142130612977	272.3178874497544	57.48723241335995	4.274203456483576
2021-09-17_04.00.00	0.3594348	84.80574	8.07359021150567		0.01042629909953032	271.95876135179395	56.62845754978459	4.423424567057737
2021-09-17_05.00.00	0.368028	86.46979	8.22662817482873		0.0019096401112872828	270.69807949977667	55.432929235367084	4.676421831615244
2021-09-17_06.00.00	0.3711044	87.05903	8.270296466927933		0.000289121997187902	269.4233660860503	54.17723225680213	4.715683987940508
2021-09-17_07.00.00	0.3651006	85.95328	8.19780417028151		0.0013646300894486491	269.0600714604734	51.81374420800423	4.957011685844805
2021-09-17_08.00.00	0.3608876	85.10177	8.172623926765787		0.005982289765758219	270.0159297305345	49.47298094370404	5.215293969925028
2021-09-17_09.00.00	0.3569749	84.30032	8.141981033296437		0.007658261285786939	270.7976775346137	47.567898226211895	5.2008509967333225
2021-09-17_10.00.00	0.351256	83.13816	8.076501032099799		0.0066474885571543955	270.349858567813	44.7145309979547	5.4203858953451345
2021-09-17_11.00.00	0.342687	81.40925	7.918523947706943		0.07431977144224729	271.2188849188626	42.727031938609095	5.504106661560968
2021-09-17_12.00.00	0.3322224	79.29423	7.658754898734555		0.28006488766565946	272.5532976030966	40.41900838294882	5.5004095540123785
2021-09-17_13.00.00	0.3231326	77.54752	7.525605049810033		0.21823430161246896	269.9363182968587	38.67091364183125	5.488048061435279
