date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-09-22_00.00.00	0.2098886	53.767	4.3915637059861785	0.004753292248780926	0.0478384838603524	280.34758820902186	77.01027094039905	-4.743635361249062
2021-09-22_01.00.00	0.1938424	50.38107	4.236949172824364	0.00014647599246118406	0.030207078110509468	280.6636147089474	87.26006197289064	-5.556635018845839
2021-09-22_02.00.00	0.1822936	48.03211	3.865447093666796	0.0022462150357495437	0.002436947078708828	279.77687211552774	80.81587175842465	-4.604867142175806
2021-09-22_03.00.00	0.1777504	47.03207	3.8052173392766324	0.0012919310736829509	0.002345675950578873	279.47990174184906	77.4590373158987	-4.396126731588311
2021-09-22_04.00.00	0.1631662	43.86381	3.5128548777934006	0.0006409028629550961	0.002420458012983516	279.8133095131755	76.55271159893884	-4.487198778106006
2021-09-22_05.00.00	0.1550368	42.01005	3.3862655936817543		0.001663210578275047	279.4213562602352	76.51555061668542	-4.589043312118065
2021-09-22_06.00.00	0.1407718	38.79132	3.082143177670745		0.006144224728512879	280.21106892958164	76.15789877078409	-4.691990232417766
2021-09-22_07.00.00	0.1265687	35.60731	2.7486878870374247		0.00269638376162982	282.5354697037368	75.21873398746922	-4.797678822386217
2021-09-22_08.00.00	0.1150837	32.93905	2.504284859544679		0.0038354114937026954	284.4793062379038	73.93188125036671	-4.907834206319308
2021-09-22_09.00.00	0.1136872	32.58054	2.4772016633260536		0.004411359080982439	284.40587315765964	73.83468366648364	-5.118774356635242
2021-09-22_10.00.00	0.1146832	32.79458	2.4891453017022167		0.002921969964400036	283.8089921095727	74.42695389757499	-5.3342535585939
2021-09-22_11.00.00	0.10708	31.04183	2.314127202560804		0.0029144105064768003	283.21010123567066	73.1208996227009	-5.40577802568032
2021-09-22_12.00.00	0.09695375	28.71147	2.0763825649923713		0.0007634849074101774	285.0312639571237	70.49046895571945	-5.182921425539348
2021-09-22_13.00.00	0.09072933	27.23899	1.9439046279953331		0.001428109312830945	284.9805716837874	62.118663032964996	-4.428986331765486
2021-09-22_14.00.00	0.09518709	28.29857	2.05669219493224		0.0029202671493104375	283.7060815840405	55.902380676981835	-3.808727566641494
2021-09-22_15.00.00	0.09207523	27.59564	1.988071917910671		0.002089859993418494	283.45276909334524	52.66813327812178	-3.255076489922544
2021-09-22_16.00.00	0.1077467	31.26866	2.360810721871541		0.005369210518443175	283.6846434420128	48.82300306542286	-2.762676013708699
2021-09-22_17.00.00	0.1046864	30.57768	2.296556077422443		0.003968591258563437	282.3543992853953	45.896263029508326	-2.569470303148023
2021-09-22_18.00.00	0.1131664	32.52126	2.5164714153229424		0.0002980390103808299	283.07786214083666	41.91310866389548	-2.298437292748986
2021-09-22_19.00.00	0.1247958	35.1188	2.8120986029257784		0.0026820630029616775	284.71352538335566	36.09951577019981	-1.7232443122400696
2021-09-22_20.00.00	0.1217144	34.40389	2.735762706793909		0.005287854129894995	286.1473872264404	36.82974914652493	-1.9441686380588408
2021-09-22_21.00.00	0.1150076	32.91078	2.5426810662039667		0.002861540969874652	286.83236563942233	42.722586908913094	-2.744711096554056
2021-09-22_22.00.00	0.1272046	35.62113	2.807745235887157		0.009130627935501241	286.06755247878516	49.14258139393829	-3.7089924848880855
2021-09-22_23.00.00	0.1279228	35.78396	2.7843677266880067		0.00039505878481467077	285.0992630638678	55.37566878389535	-4.6268454049453
2021-09-23_00.00.00	0.1301971	36.24294	2.8332201513746376		0.0015865824034463159	283.3911716540122	62.34738390871199	-5.336053070917501
2021-09-23_01.00.00	0.09498004	28.14187	2.062786071140096		0.006041619050468184	284.2152002382016	62.760675523996035	-5.485076825419014
2021-09-23_02.00.00	0.06801169	21.67423	1.4491701319292787		0.01395781254674365	287.20619324103023	47.537616519870646	-4.291180964955174
2021-09-23_03.00.00	0.05922942	19.46338	1.255799802554821		0.020687698567026656	288.75357302367127	39.09484567464196	-3.7944310352493744
2021-09-23_04.00.00	0.0536146	18.11183	1.1131283094504443		0.004686792114159213	288.1806610093792	35.956364997279465	-3.8019686073672005
2021-09-23_05.00.00	0.05159957	17.59134	1.0647871481138003		0.005093484309091453	286.7624683638529	32.77775706842076	-3.8110652262205917
2021-09-23_06.00.00	0.0471791	16.46434	0.9483265025278965		0.016786301492805217	287.42731129968735	28.44950848727828	-3.6916738932260387
2021-09-23_07.00.00	0.043765	15.56266	0.871131420707811		0.014781284590301253	285.88428613964567	24.399889658031334	-3.508330009251438
